MegaWin ASCII file

[DEFINITIONS]
Version=1
ChannelCount=16
DataType=1
SamplingFreq=1000.000000
FirstSampleTime=0.000000
PhaseName=Raw Free 01/07/2013 17:53:07


[COMMENT]
10L(alternativas_i_d)


[SOURCE NAMES]
RA
OE
OI
ES
RF
BF
TA
GL
RA
OE
OI
ES
RF
BF
TA
GL


[SIDE INFO]
R
R
R
R
R
R
R
R
L
L
L
L
L
L
L
L


[UNITS]
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV




[DATA]
0,00	-29,00	9,00	64,00	-3,00	-6,00	0,00	-1,00	2,00	-1,00	-16,00	6,00	1,00	-6220,00	-9,00	6,00
0,00	-27,00	29,00	50,00	0,00	-1,00	-2,00	22,00	2,00	-8,00	18,00	9,00	4,00	-6206,00	-8,00	2,00
-2,00	-25,00	34,00	35,00	-3,00	-1,00	-6,00	10,00	-1,00	-7,00	16,00	10,00	4,00	-6194,00	-9,00	2,00
-11,00	-23,00	18,00	25,00	1,00	-3,00	-2,00	-5,00	0,00	2,00	-15,00	-10,00	3,00	-6184,00	-8,00	4,00
0,00	-21,00	-29,00	16,00	-1,00	-2,00	-2,00	-3,00	0,00	-4,00	-6,00	-10,00	4,00	-6168,00	-10,00	5,00
-10,00	-20,00	-20,00	6,00	-7,00	0,00	-2,00	-3,00	0,00	-3,00	34,00	-6,00	4,00	-6155,00	-13,00	5,00
-20,00	-15,00	7,00	-6,00	6,00	0,00	-1,00	-4,00	-1,00	0,00	41,00	18,00	7,00	-6143,00	-10,00	4,00
-17,00	-17,00	18,00	-19,00	-1,00	-1,00	-2,00	-2,00	0,00	7,00	3,00	29,00	5,00	-6132,00	-4,00	6,00
-10,00	-17,00	4,00	-38,00	3,00	-4,00	2,00	-8,00	-2,00	3,00	-35,00	9,00	2,00	-6118,00	0,00	8,00
-16,00	-17,00	-6,00	-44,00	1,00	-5,00	-2,00	-17,00	-1,00	-1,00	-35,00	-9,00	1,00	-6108,00	-3,00	6,00
-16,00	-17,00	6,00	-50,00	-3,00	0,00	-1,00	-24,00	0,00	-1,00	-17,00	-23,00	4,00	-6103,00	-4,00	6,00
-17,00	-11,00	3,00	-61,00	0,00	-1,00	-2,00	-29,00	-3,00	0,00	-4,00	-16,00	5,00	-6094,00	-6,00	5,00
-13,00	-10,00	-11,00	-71,00	2,00	-1,00	-5,00	-17,00	0,00	4,00	-3,00	0,00	3,00	-6081,00	-9,00	2,00
-17,00	0,00	-6,00	-73,00	3,00	-4,00	-1,00	-4,00	-1,00	-1,00	-4,00	-2,00	0,00	-6070,00	-10,00	4,00
-18,00	2,00	-3,00	-66,00	0,00	0,00	-1,00	4,00	-3,00	-1,00	-2,00	-8,00	3,00	-6054,00	-10,00	7,00
-4,00	2,00	-14,00	-38,00	-4,00	-6,00	-3,00	0,00	0,00	2,00	-1,00	0,00	6,00	-6041,00	-2,00	3,00
-14,00	7,00	-2,00	-34,00	2,00	0,00	-3,00	-11,00	2,00	6,00	-2,00	4,00	2,00	-6029,00	-5,00	1,00
-13,00	9,00	5,00	-36,00	3,00	0,00	0,00	2,00	0,00	2,00	-2,00	11,00	0,00	-6018,00	-7,00	1,00
-4,00	11,00	12,00	-21,00	-3,00	1,00	-7,00	7,00	2,00	-4,00	25,00	7,00	0,00	-6004,00	-5,00	2,00
-9,00	20,00	-3,00	-14,00	0,00	0,00	-1,00	15,00	0,00	-10,00	50,00	5,00	3,00	-5991,00	-9,00	6,00
-4,00	20,00	-16,00	-21,00	3,00	-3,00	0,00	8,00	-2,00	-3,00	22,00	0,00	4,00	-5978,00	-10,00	9,00
-4,00	19,00	-17,00	-24,00	0,00	-2,00	2,00	5,00	-1,00	2,00	-29,00	-7,00	4,00	-5965,00	-4,00	7,00
-8,00	26,00	-13,00	-22,00	0,00	-2,00	0,00	0,00	-1,00	-6,00	-46,00	-5,00	6,00	-5953,00	-1,00	7,00
-2,00	23,00	-6,00	-18,00	2,00	-2,00	-7,00	-4,00	-2,00	-4,00	-29,00	-4,00	7,00	-5941,00	-3,00	10,00
2,00	16,00	-1,00	-17,00	0,00	-3,00	-9,00	-9,00	-1,00	-4,00	4,00	-5,00	1,00	-5927,00	-6,00	4,00
4,00	18,00	-7,00	-19,00	3,00	-4,00	-8,00	-11,00	0,00	0,00	26,00	6,00	2,00	-5912,00	-7,00	3,00
8,00	16,00	-14,00	-7,00	4,00	-2,00	-1,00	0,00	-1,00	-2,00	19,00	6,00	3,00	-5901,00	-10,00	4,00
