MegaWin ASCII file

[DEFINITIONS]
Version=1
ChannelCount=16
DataType=1
SamplingFreq=1000.000000
FirstSampleTime=0.000000
PhaseName=Raw Free 22/07/2013 17:57:11


[COMMENT]
10_G_(Alter_d_i)


[SOURCE NAMES]
RA
OE
OI
ES
RF
BF
TA
GL
RA
OE
OI
ES
RF
BF
TA
GL


[SIDE INFO]
R
R
R
R
R
R
R
R
L
L
L
L
L
L
L
L


[UNITS]
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV




[DATA]
2,00	-4,00	-8,00	34,00	3,00	-18,00	-9,00	4,00	13,00	5,00	8,00	-4,00	-22,00	-7796,00	-10,00	2,00
1,00	-9,00	-9,00	37,00	2,00	-7,00	-4,00	2,00	14,00	6,00	2,00	-7,00	-18,00	-7806,00	-9,00	2,00
-7,00	-13,00	7,00	38,00	4,00	-1,00	11,00	-14,00	14,00	2,00	3,00	-2,00	-2,00	-7811,00	-10,00	5,00
-1,00	-7,00	-3,00	50,00	4,00	5,00	3,00	-4,00	13,00	4,00	10,00	2,00	14,00	-7816,00	-10,00	6,00
-6,00	-21,00	-4,00	67,00	3,00	9,00	6,00	1,00	14,00	9,00	9,00	-3,00	22,00	-7824,00	-9,00	6,00
-4,00	-24,00	-13,00	72,00	5,00	29,00	20,00	12,00	16,00	12,00	2,00	-8,00	27,00	-7831,00	-9,00	7,00
-3,00	-11,00	0,00	62,00	5,00	31,00	-8,00	7,00	13,00	9,00	8,00	-9,00	33,00	-7836,00	-10,00	2,00
-2,00	3,00	2,00	46,00	3,00	12,00	-10,00	-8,00	17,00	5,00	2,00	-13,00	26,00	-7844,00	-8,00	-3,00
2,00	-11,00	-4,00	30,00	0,00	3,00	0,00	12,00	16,00	10,00	-10,00	-10,00	23,00	-7852,00	-6,00	-4,00
0,00	-5,00	-1,00	10,00	2,00	2,00	0,00	-2,00	20,00	18,00	-13,00	-12,00	19,00	-7858,00	-8,00	0,00
-6,00	0,00	6,00	0,00	4,00	6,00	-19,00	6,00	17,00	14,00	-7,00	-8,00	12,00	-7863,00	-8,00	4,00
0,00	7,00	4,00	-9,00	2,00	3,00	-24,00	21,00	14,00	14,00	1,00	-6,00	10,00	-7870,00	-6,00	3,00
3,00	16,00	0,00	-19,00	3,00	-8,00	-23,00	0,00	14,00	12,00	4,00	-10,00	7,00	-7875,00	-6,00	3,00
8,00	-2,00	2,00	-23,00	5,00	-6,00	-16,00	-5,00	18,00	12,00	9,00	-15,00	9,00	-7883,00	-4,00	5,00
-8,00	-2,00	-7,00	-28,00	0,00	-3,00	-13,00	4,00	21,00	16,00	13,00	-16,00	8,00	-7889,00	-8,00	5,00
-2,00	-1,00	-6,00	-34,00	0,00	-4,00	-6,00	-6,00	16,00	10,00	16,00	-16,00	13,00	-7894,00	-4,00	4,00
-7,00	-2,00	1,00	-29,00	-2,00	0,00	-1,00	-15,00	20,00	14,00	23,00	-25,00	9,00	-7902,00	-4,00	3,00
-4,00	2,00	0,00	-39,00	4,00	-6,00	-6,00	-14,00	18,00	10,00	29,00	-22,00	9,00	-7909,00	-8,00	7,00
-3,00	6,00	2,00	-46,00	-2,00	-21,00	-10,00	4,00	16,00	10,00	28,00	-12,00	7,00	-7915,00	-11,00	9,00
0,00	4,00	14,00	-35,00	4,00	-9,00	-14,00	-11,00	10,00	5,00	18,00	-9,00	11,00	-7920,00	-13,00	11,00
-11,00	9,00	27,00	-29,00	2,00	-1,00	-17,00	-15,00	13,00	2,00	9,00	-9,00	20,00	-7925,00	-9,00	10,00
-8,00	13,00	26,00	-40,00	-1,00	-4,00	-12,00	5,00	12,00	1,00	-1,00	-10,00	23,00	-7933,00	2,00	13,00
-14,00	12,00	15,00	-43,00	3,00	-15,00	1,00	5,00	14,00	2,00	-4,00	-3,00	17,00	-7937,00	3,00	11,00
-6,00	11,00	19,00	-45,00	4,00	-13,00	8,00	18,00	13,00	10,00	0,00	3,00	14,00	-7941,00	-2,00	9,00
-6,00	14,00	-7,00	-53,00	2,00	-13,00	12,00	-4,00	14,00	4,00	3,00	0,00	20,00	-7948,00	-2,00	7,00
-6,00	17,00	-24,00	-52,00	2,00	-11,00	9,00	-13,00	9,00	-1,00	7,00	4,00	20,00	-7952,00	-7,00	7,00
-7,00	19,00	-17,00	-50,00	0,00	-16,00	2,00	10,00	11,00	2,00	4,00	12,00	19,00	-7958,00	-9,00	4,00
-3,00	9,00	-6,00	-41,00	2,00	-8,00	3,00	-9,00	9,00	7,00	2,00	6,00	14,00	-7964,00	-5,00	6,00
-11,00	15,00	-3,00	-31,00	3,00	5,00	0,00	-13,00	13,00	-2,00	0,00	-6,00	14,00	-7970,00	-5,00	9,00
-13,00	13,00	-4,00	-24,00	3,00	9,00	6,00	-14,00	12,00	-4,00	-1,00	-14,00	16,00	-7975,00	-9,00	9,00
-11,00	3,00	2,00	-28,00	2,00	0,00	7,00	-29,00	13,00	-8,00	-6,00	0,00	19,00	-7979,00	-10,00	10,00
-13,00	-11,00	13,00	-29,00	4,00	-13,00	2,00	-27,00	13,00	2,00	-11,00	6,00	18,00	-7987,00	-9,00	11,00
-13,00	-15,00	11,00	-30,00	3,00	-17,00	0,00	-10,00	14,00	2,00	-9,00	7,00	14,00	-7990,00	-6,00	11,00
-17,00	-16,00	4,00	-23,00	0,00	-23,00	10,00	7,00	11,00	-2,00	10,00	6,00	13,00	-7992,00	-3,00	11,00
-14,00	-16,00	-3,00	-28,00	3,00	-29,00	0,00	-29,00	12,00	-5,00	24,00	-2,00	12,00	-7997,00	-6,00	12,00
-14,00	-14,00	8,00	-35,00	3,00	-34,00	0,00	-36,00	11,00	3,00	19,00	0,00	16,00	-8001,00	-6,00	10,00
-17,00	-4,00	10,00	-41,00	3,00	-29,00	2,00	-32,00	13,00	0,00	8,00	6,00	14,00	-8008,00	-4,00	9,00
-10,00	-2,00	0,00	-31,00	2,00	-14,00	-2,00	-6,00	12,00	4,00	1,00	8,00	11,00	-8013,00	-6,00	6,00
-16,00	0,00	2,00	-20,00	2,00	16,00	-6,00	39,00	5,00	7,00	2,00	7,00	12,00	-8017,00	-9,00	3,00
-10,00	8,00	-8,00	-9,00	4,00	33,00	-8,00	26,00	10,00	8,00	6,00	11,00	17,00	-8022,00	-15,00	6,00
-4,00	1,00	-13,00	-15,00	1,00	4,00	-4,00	25,00	12,00	-1,00	8,00	22,00	19,00	-8026,00	-18,00	8,00
-4,00	-2,00	-9,00	-10,00	6,00	-1,00	-6,00	-2,00	7,00	-2,00	3,00	32,00	19,00	-8030,00	-16,00	7,00
-10,00	-2,00	-26,00	10,00	1,00	-6,00	-4,00	-16,00	7,00	0,00	-4,00	39,00	12,00	-8034,00	-15,00	9,00
-10,00	-10,00	-19,00	38,00	0,00	-3,00	-7,00	-1,00	9,00	4,00	-3,00	46,00	11,00	-8039,00	-14,00	9,00
-9,00	-3,00	-9,00	77,00	3,00	0,00	-6,00	-8,00	14,00	2,00	-2,00	50,00	10,00	-8043,00	-10,00	7,00
-9,00	0,00	-2,00	98,00	2,00	6,00	4,00	-13,00	13,00	4,00	-1,00	43,00	12,00	-8045,00	-2,00	6,00
-1,00	-2,00	-1,00	80,00	0,00	7,00	2,00	-7,00	16,00	10,00	3,00	36,00	16,00	-8050,00	0,00	6,00
-5,00	0,00	7,00	58,00	4,00	5,00	-2,00	-7,00	11,00	17,00	8,00	31,00	19,00	-8054,00	3,00	8,00
-11,00	3,00	0,00	26,00	2,00	3,00	-6,00	-7,00	13,00	20,00	6,00	17,00	22,00	-8059,00	3,00	8,00
-6,00	2,00	6,00	11,00	3,00	2,00	-7,00	-2,00	10,00	12,00	2,00	18,00	21,00	-8062,00	0,00	9,00
3,00	4,00	2,00	7,00	3,00	-1,00	-8,00	-6,00	9,00	6,00	4,00	24,00	17,00	-8065,00	-2,00	5,00
2,00	0,00	6,00	16,00	3,00	-1,00	0,00	-2,00	8,00	0,00	6,00	17,00	4,00	-8070,00	-2,00	9,00
3,00	1,00	2,00	22,00	2,00	14,00	0,00	-6,00	6,00	0,00	9,00	2,00	6,00	-8073,00	-1,00	8,00
7,00	0,00	2,00	42,00	1,00	36,00	0,00	-3,00	7,00	-1,00	10,00	-10,00	12,00	-8075,00	-4,00	10,00
18,00	-4,00	2,00	42,00	4,00	29,00	1,00	2,00	3,00	-3,00	2,00	-13,00	19,00	-8076,00	-5,00	11,00
17,00	-9,00	1,00	26,00	1,00	27,00	1,00	9,00	0,00	3,00	0,00	5,00	18,00	-8083,00	-8,00	5,00
16,00	-10,00	3,00	4,00	3,00	18,00	0,00	6,00	0,00	13,00	-1,00	9,00	13,00	-8087,00	-5,00	6,00
12,00	-7,00	-1,00	14,00	2,00	0,00	0,00	2,00	5,00	13,00	2,00	-2,00	14,00	-8087,00	-4,00	6,00
14,00	-4,00	-1,00	40,00	1,00	-21,00	0,00	-8,00	7,00	12,00	0,00	-1,00	15,00	-8091,00	-1,00	8,00
9,00	-2,00	2,00	40,00	3,00	-28,00	4,00	-15,00	5,00	5,00	-1,00	4,00	19,00	-8094,00	-3,00	18,00
16,00	-4,00	6,00	29,00	4,00	-42,00	1,00	10,00	10,00	10,00	3,00	7,00	11,00	-8098,00	-6,00	21,00
12,00	0,00	2,00	48,00	3,00	-55,00	1,00	17,00	7,00	13,00	0,00	10,00	9,00	-8101,00	-6,00	14,00
19,00	4,00	6,00	77,00	3,00	-46,00	6,00	-8,00	6,00	2,00	10,00	3,00	11,00	-8104,00	-8,00	7,00
22,00	2,00	5,00	69,00	3,00	-27,00	0,00	-25,00	8,00	2,00	9,00	0,00	14,00	-8106,00	-9,00	-1,00
19,00	0,00	-3,00	79,00	2,00	18,00	0,00	-21,00	12,00	-1,00	2,00	1,00	15,00	-8106,00	-8,00	-7,00
17,00	2,00	3,00	81,00	4,00	46,00	5,00	-19,00	10,00	-2,00	-4,00	-4,00	11,00	-8112,00	-9,00	-13,00
19,00	4,00	2,00	66,00	0,00	14,00	0,00	-11,00	13,00	2,00	-11,00	0,00	9,00	-8116,00	-9,00	-3,00
21,00	0,00	0,00	-8,00	3,00	-7,00	0,00	-7,00	14,00	-5,00	-16,00	-2,00	14,00	-8116,00	-11,00	5,00
19,00	-4,00	-3,00	-64,00	2,00	-22,00	0,00	3,00	20,00	-17,00	-18,00	-6,00	14,00	-8118,00	-12,00	4,00
20,00	-11,00	5,00	-38,00	0,00	-33,00	-1,00	14,00	15,00	-29,00	-14,00	-6,00	10,00	-8118,00	-10,00	-2,00
19,00	-16,00	6,00	24,00	0,00	-33,00	-2,00	11,00	8,00	-32,00	-5,00	-17,00	13,00	-8121,00	-8,00	6,00
16,00	-15,00	6,00	49,00	2,00	-24,00	0,00	0,00	9,00	-23,00	-2,00	-34,00	16,00	-8124,00	-7,00	9,00
16,00	-16,00	7,00	31,00	0,00	-15,00	-8,00	-28,00	4,00	-3,00	-4,00	-46,00	14,00	-8126,00	-5,00	8,00
