MegaWin ASCII file

[DEFINITIONS]
Version=1
ChannelCount=16
DataType=1
SamplingFreq=1000.000000
FirstSampleTime=0.000000
PhaseName=Raw Free 01/07/2013 17:56:38


[COMMENT]
10C(alternativa_i_d)


[SOURCE NAMES]
RA
OE
OI
ES
RF
BF
TA
GL
RA
OE
OI
ES
RF
BF
TA
GL


[SIDE INFO]
R
R
R
R
R
R
R
R
L
L
L
L
L
L
L
L


[UNITS]
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV
uV




[DATA]
-5,00	-12,00	-1,00	-15,00	-2,00	7,00	2,00	2,00	-4,00	-2,00	15,00	-12,00	3,00	-5422,00	-7,00	9,00
3,00	-9,00	6,00	-2,00	-4,00	15,00	7,00	-2,00	3,00	3,00	30,00	16,00	0,00	-5435,00	-4,00	9,00
20,00	-10,00	3,00	30,00	-4,00	11,00	4,00	4,00	0,00	-2,00	31,00	0,00	0,00	-5446,00	-4,00	7,00
6,00	-5,00	-4,00	26,00	2,00	10,00	-6,00	-5,00	-4,00	-10,00	29,00	23,00	3,00	-5457,00	-6,00	2,00
-9,00	-2,00	1,00	39,00	-3,00	6,00	-4,00	-6,00	-3,00	-7,00	12,00	83,00	5,00	-5470,00	-9,00	-2,00
-8,00	1,00	0,00	68,00	-5,00	10,00	-7,00	-1,00	2,00	4,00	-8,00	86,00	0,00	-5482,00	-9,00	-1,00
-10,00	0,00	-15,00	42,00	0,00	5,00	-9,00	2,00	-1,00	-1,00	-1,00	43,00	3,00	-5495,00	-6,00	3,00
3,00	4,00	-3,00	21,00	1,00	-3,00	0,00	-13,00	-1,00	-4,00	5,00	15,00	3,00	-5505,00	-3,00	4,00
16,00	3,00	-3,00	-2,00	3,00	-3,00	0,00	-14,00	-1,00	-3,00	-13,00	-16,00	4,00	-5520,00	-7,00	9,00
-9,00	3,00	-2,00	-11,00	2,00	-1,00	0,00	-11,00	-1,00	0,00	-33,00	-30,00	3,00	-5535,00	-10,00	11,00
-5,00	0,00	5,00	38,00	2,00	-3,00	3,00	-4,00	-2,00	0,00	-41,00	-46,00	0,00	-5547,00	-8,00	22,00
-1,00	0,00	5,00	13,00	2,00	-10,00	0,00	0,00	0,00	-3,00	-33,00	-81,00	0,00	-5558,00	-3,00	28,00
5,00	-11,00	-4,00	-46,00	4,00	-10,00	6,00	-9,00	-2,00	-1,00	-11,00	-32,00	5,00	-5570,00	-5,00	19,00
-13,00	-10,00	-36,00	-55,00	2,00	-8,00	2,00	-3,00	0,00	0,00	3,00	90,00	6,00	-5583,00	-3,00	-3,00
-9,00	-7,00	-17,00	-41,00	0,00	-1,00	-7,00	0,00	6,00	0,00	4,00	130,00	4,00	-5594,00	-4,00	-8,00
0,00	-8,00	1,00	16,00	0,00	-10,00	-4,00	-1,00	-2,00	-3,00	-7,00	68,00	5,00	-5606,00	-7,00	0,00
-7,00	-10,00	18,00	55,00	0,00	-4,00	-3,00	-18,00	0,00	-10,00	0,00	6,00	4,00	-5617,00	-3,00	-4,00
